,전용면적(㎡),계약일,거래금액(만원),층,건축년도,구,동,평,계약년,계약월,한강,건물나이,재건축,단지명
272420,4.430578675,28,11.06665399,2.944438979,1998,22,331,3.346389145,2015,8,0,17,0,현대안성타워
272425,5.432323646,17,12.11176746,2.63905733,2004,22,331,4.332048265,2014,10,0,10,0,현대하이페리온II
272427,5.472480736,1,12.19602736,2.397895273,2000,22,331,4.371976299,2014,10,0,14,0,형우베스트빌3차
272435,5.346535939,6,12.48748888,2.63905733,2003,22,331,4.247065649,2014,10,0,11,0,힐탑트레져1동
272437,4.848430041,16,10.46313191,2.079441542,2003,22,238,3.756538103,2015,3,0,12,0,대성효창
272448,5.176658078,6,11.36791125,2.397895273,2004,22,238,4.079230924,2015,7,0,11,0,세인트힐
272452,3.960241578,24,9.898525261,2.48490665,2004,22,238,2.890371758,2015,3,0,11,0,예빌리지
272456,4.794301835,12,11.05090588,2.079441542,2007,22,238,3.701301974,2015,8,0,8,0,태원팰리스
272457,4.437461342,2,10.46313191,2.397895273,2003,22,238,3.353406718,2015,1,0,12,0,화이트타운
272458,5.073923033,30,11.00211651,2.079441542,2004,22,238,3.977810746,2015,3,0,11,0,효삼골드빌
272478,4.665135767,20,10.70326694,2.079441542,2002,22,238,3.575150689,2015,1,0,13,0,효창아트빌2차
272513,3.737431495,14,9.680406499,1.791759469,1973,22,206,2.674148649,2014,11,0,41,0.6931471806,뉴후암
272514,4.347305782,17,10.81579034,2.302585093,2006,22,206,3.265759411,2015,1,0,9,0,명남아띠팰리스
272517,4.985317486,15,11.12727769,1.791759469,2004,22,206,3.889777396,2015,6,0,11,0,미소가
272518,5.101511416,15,11.4616427,2.079441542,2004,22,206,4.005513349,2014,10,0,10,0,브라운스톤남산
272519,5.132321812,5,11.38510346,1.945910149,2004,22,206,4.036008985,2014,12,0,10,0,브라운스톤남산
272523,4.312140507,24,10.55843949,1.386294361,2005,22,206,3.230804396,2015,1,0,10,0,삼안리치10차
272524,4.457945466,4,10.75152086,1.791759469,2005,22,206,3.374168709,2015,4,0,10,0,삼안리치10차
272525,4.428074948,16,10.66897865,1.386294361,2005,22,206,3.342861805,2015,7,0,10,0,삼안리치10차
272526,4.44429696,13,10.91510665,1.945910149,2005,22,206,3.360375387,2015,8,0,10,0,삼안리치10차
272528,3.911822985,2,10.16589028,2.302585093,2004,22,206,2.844909384,2014,9,0,10,0,제일
272529,4.929931257,18,11.00211651,1.945910149,2002,22,206,3.835141961,2014,9,0,12,0,화인
272582,4.426282726,6,10.1266711,1.945910149,2002,7,37,3.342861805,2015,7,0,13,0,대훈
272606,2.834389123,12,9.210440367,2.397895273,2014,7,37,1.840549633,2014,11,0,0,0,만연센텀시티
272607,2.587764035,12,9.210440367,2.708050201,2014,7,37,1.62924054,2014,11,0,0,0,만연센텀시티
272608,2.697326238,12,9.210440367,2.397895273,2014,7,37,1.722766598,2014,11,0,0,0,만연센텀시티
272621,3.955274047,12,10.59915655,2.772588722,2014,7,37,2.884800713,2014,11,0,0,0,만연센텀시티
272626,4.446174454,14,10.1266711,1.791759469,2001,7,37,3.360375387,2015,3,0,14,0,메카
272628,4.760291823,25,10.14647295,1.791759469,1996,7,37,3.668676747,2014,9,0,18,0,명성
272653,4.230331271,12,10.11459901,2.397895273,2002,7,37,3.152736022,2015,7,0,13,0,수정럭스
272655,4.243339115,14,9.989711119,1.945910149,2003,7,37,3.165475048,2015,7,0,12,0,수정럭스(428-6)
272666,4.897989043,12,10.35777457,1.791759469,1998,7,37,3.804437795,2015,8,0,17,0,우남
272670,4.450969505,20,10.04329297,2.197224577,2004,7,37,3.36729583,2015,5,0,11,0,웰빙존
272673,4.280962432,29,9.741027445,1.945910149,2003,7,37,3.198673118,2014,9,0,11,0,천지홈타운
272733,4.727033774,25,10.44874359,2.48490665,2000,7,37,3.63758616,2015,8,0,15,0,현재트윈빌
272734,4.681390212,29,10.41033527,2.197224577,2000,7,37,3.591817741,2015,8,0,15,0,현재트윈빌
272863,4.830551232,11,10.40429314,2.079441542,2005,7,56,3.737669618,2015,7,0,10,0,구산
272872,4.358758008,25,9.852246888,2.48490665,2005,7,56,3.277144733,2014,9,0,9,0,금강포란재(101)
272874,4.402319338,20,10.10646921,2.397895273,2005,7,56,3.317815773,2015,3,0,10,0,금광포란재(102)
272875,4.444766664,27,10.10646921,2.079441542,2005,7,56,3.360375387,2015,3,0,10,0,금광포란재(102)
272883,4.778551901,20,10.57134257,2.833213344,2004,7,56,3.686376324,2014,11,0,10,0,대림e-편한세상2
272912,4.433194921,11,10.1266711,1.945910149,2004,7,56,3.349904087,2015,4,0,11,0,두일
272914,4.771108264,27,10.35459502,2.079441542,1997,7,56,3.678829118,2014,10,0,17,0,명남아파트
272915,4.79958499,7,10.34177474,2.48490665,1997,7,56,3.708682081,2015,2,0,18,0,명남아파트
272940,4.5549153,24,10.44874359,2.48490665,2003,7,56,3.46885603,2015,2,0,12,0,세화샤이닝2
272948,4.620354321,19,10.2399955,2.564949357,2008,7,56,3.532225644,2014,9,0,6,0,신호(199-24)
272950,4.610157727,4,10.1266711,2.48490665,1997,7,56,3.520460802,2015,3,0,18,0,예승빌라트
272952,4.15261347,13,9.770013301,2.302585093,2002,7,56,3.077312261,2015,3,0,13,0,우공아트빌
272953,4.325985244,21,9.798182591,1.945910149,1995,7,56,3.242592351,2015,3,0,20,0,우신
272954,4.446291681,16,10.1266711,1.945910149,2009,7,56,3.360375387,2015,2,0,6,0,이안
272955,3.340739413,9,9.071193241,2.302585093,2009,7,56,2.302585093,2015,5,0,6,0,이안
272956,4.773899789,26,10.51870022,2.302585093,2006,7,56,3.681351188,2014,9,0,8,0,캐슬아파트(18-10)
272957,4.438406968,27,9.942756341,2.48490665,1999,7,56,3.353406718,2014,9,0,15,0,타워
272958,4.447228998,7,10.16203686,2.197224577,2005,7,56,3.363841595,2015,3,0,10,0,한국프라우드
272970,4.44335689,18,10.27508559,2.564949357,2001,7,180,3.356897123,2014,10,0,13,0,기룡쉐르빌(96-6)
273054,4.45423101,24,10.20362918,2.397895273,2000,7,180,3.36729583,2015,2,0,15,0,대신홈타운(168-33)
