경기번호,팀명,홈_어웨이
369,흥국생명,1
370,GS칼텍스,1
370,흥국생명,0
371,IBK기업은행,0
371,현대건설,1
372,KGC인삼공사,0
372,페퍼저축은행,1
373,한국도로공사,1
373,현대건설,0
374,IBK기업은행,1
374,흥국생명,0
375,GS칼텍스,0
375,페퍼저축은행,1
376,KGC인삼공사,1
376,한국도로공사,0
377,현대건설,1
377,흥국생명,0
378,IBK기업은행,1
378,한국도로공사,0
379,GS칼텍스,1
379,현대건설,0
380,KGC인삼공사,1
380,흥국생명,0
381,페퍼저축은행,0
381,한국도로공사,1
382,GS칼텍스,1
382,IBK기업은행,0
383,KGC인삼공사,1
383,현대건설,0
384,페퍼저축은행,1
384,흥국생명,0
385,GS칼텍스,0
385,한국도로공사,1
386,IBK기업은행,1
386,KGC인삼공사,0
387,페퍼저축은행,0
387,현대건설,1
388,한국도로공사,1
388,흥국생명,0
389,GS칼텍스,0
389,KGC인삼공사,1
390,IBK기업은행,1
390,페퍼저축은행,0
391,GS칼텍스,1
391,현대건설,0
392,한국도로공사,1
392,흥국생명,0
393,IBK기업은행,0
393,KGC인삼공사,1
394,페퍼저축은행,1
394,현대건설,0
395,GS칼텍스,0
395,흥국생명,1
396,IBK기업은행,0
396,페퍼저축은행,1
397,한국도로공사,0
397,현대건설,1
398,KGC인삼공사,0
398,흥국생명,1
399,GS칼텍스,1
399,페퍼저축은행,0
400,IBK기업은행,1
400,현대건설,0
401,KGC인삼공사,0
401,한국도로공사,1
402,IBK기업은행,0
402,흥국생명,1
403,GS칼텍스,1
403,한국도로공사,0
404,KGC인삼공사,1
404,페퍼저축은행,0
405,현대건설,1
405,흥국생명,0
406,GS칼텍스,0
406,IBK기업은행,1
407,페퍼저축은행,0
407,한국도로공사,1
408,GS칼텍스,1
408,KGC인삼공사,0
409,페퍼저축은행,0
409,흥국생명,1
410,IBK기업은행,0
410,한국도로공사,1
411,KGC인삼공사,0
411,현대건설,1
412,GS칼텍스,1
412,흥국생명,0
413,IBK기업은행,1
413,페퍼저축은행,0
414,한국도로공사,1
414,현대건설,0
415,GS칼텍스,0
415,페퍼저축은행,1
416,IBK기업은행,0
416,KGC인삼공사,1
417,한국도로공사,0
417,흥국생명,1
418,GS칼텍스,0
418,현대건설,1
419,KGC인삼공사,0
419,페퍼저축은행,1
420,현대건설,0
420,흥국생명,1
421,GS칼텍스,1
421,IBK기업은행,0
422,페퍼저축은행,1
422,한국도로공사,0
423,KGC인삼공사,1
423,현대건설,0
424,IBK기업은행,1
424,흥국생명,0
425,GS칼텍스,0
425,한국도로공사,1
426,KGC인삼공사,0
426,흥국생명,1
427,페퍼저축은행,0
427,현대건설,1
428,IBK기업은행,1
428,한국도로공사,0
429,GS칼텍스,0
429,KGC인삼공사,1
430,페퍼저축은행,1
430,흥국생명,0
431,IBK기업은행,0
431,현대건설,1
432,KGC인삼공사,1
432,한국도로공사,0
433,페퍼저축은행,0
433,흥국생명,1
434,GS칼텍스,0
434,현대건설,1
435,IBK기업은행,0
435,한국도로공사,1
436,KGC인삼공사,1
436,페퍼저축은행,0
437,GS칼텍스,0
437,흥국생명,1
438,KGC인삼공사,0
438,현대건설,1
439,페퍼저축은행,1
439,한국도로공사,0
440,GS칼텍스,0
440,IBK기업은행,1
441,KGC인삼공사,1
441,흥국생명,0
442,한국도로공사,0
442,현대건설,1
443,GS칼텍스,1
443,페퍼저축은행,0
444,IBK기업은행,1
444,현대건설,0
445,한국도로공사,0
445,흥국생명,1
446,GS칼텍스,0
446,KGC인삼공사,1
447,페퍼저축은행,1
447,현대건설,0
448,IBK기업은행,0
448,흥국생명,1
449,KGC인삼공사,0
449,한국도로공사,1
450,IBK기업은행,0
450,페퍼저축은행,1
451,현대건설,1
451,흥국생명,0
452,GS칼텍스,1
452,한국도로공사,0
453,IBK기업은행,1
453,KGC인삼공사,0
454,현대건설,0
454,흥국생명,1
455,GS칼텍스,0
455,한국도로공사,1
456,IBK기업은행,0
456,KGC인삼공사,1
457,페퍼저축은행,1
457,현대건설,0
458,GS칼텍스,1
458,흥국생명,0
459,IBK기업은행,1
459,한국도로공사,0
460,KGC인삼공사,0
460,페퍼저축은행,1
461,GS칼텍스,1
461,현대건설,0
462,한국도로공사,0
462,흥국생명,1
463,IBK기업은행,1
463,페퍼저축은행,0
464,KGC인삼공사,0
464,흥국생명,1
465,GS칼텍스,0
465,IBK기업은행,1
466,페퍼저축은행,1
466,흥국생명,0
467,KGC인삼공사,1
467,한국도로공사,0
468,IBK기업은행,0
468,현대건설,1
469,한국도로공사,1
469,현대건설,0
470,GS칼텍스,0
470,페퍼저축은행,1
471,KGC인삼공사,1
471,현대건설,0
472,IBK기업은행,1
472,흥국생명,0
473,페퍼저축은행,0
473,한국도로공사,1
474,GS칼텍스,1
474,KGC인삼공사,0
